model,label_fraction,seed,accuracy,f1_macro,recall_macro,train_accuracy,train_f1_macro,train_recall_macro,generalization_gap,train_time_s,error
SemiSupervisedGMM,0.2,4,0.8958897366477971,0.9135298208241831,0.9153061297580892,0.8997890295358649,0.9169979180618533,0.9197937632228247,0.0038992928880677846,0.18037138299405342,
ConstrainedKMeans,0.05,0,0.7880876199852326,0.7709915859555146,0.7914082538971428,0.7912447257383967,0.772881701674032,0.793318756504372,0.00315710575316408,1.1407485219970113,
ConstrainedKMeans,0.05,1,0.799163179916318,0.7825773731775978,0.8013596751470587,0.7893459915611815,0.7767284791500109,0.793411864587677,-0.009817188355136564,0.8605630720048794,
ConstrainedKMeans,0.05,2,0.7937484617277873,0.7761565303056772,0.796297373876904,0.7879746835443038,0.7706327892811743,0.789969742628718,-0.005773778183483569,1.2373312669951702,
ConstrainedKMeans,0.05,3,0.7915333497415703,0.7797248488812974,0.7980621384658925,0.7925105485232068,0.7766462625129256,0.7938426287575416,0.0009771987816364902,0.9869650730033754,
ConstrainedKMeans,0.05,4,0.8641397981786857,0.8817278108093032,0.8810278872047312,0.8768987341772152,0.8942631942819271,0.8958125134270352,0.012758935998529508,0.6221883299949695,
ConstrainedKMeans,0.1,0,0.7915333497415703,0.7768915555453616,0.7951045648738194,0.794831223628692,0.7803284738228617,0.7978466274690107,0.0032978738871216606,0.822794290004822,
ConstrainedKMeans,0.1,1,0.799163179916318,0.7823256874329149,0.801294475948089,0.7891350210970464,0.7757737097990052,0.7931683760035766,-0.01002815881927166,0.7368833910004469,
ConstrainedKMeans,0.1,2,0.8006399212404627,0.7881699754554001,0.8047523765081043,0.794409282700422,0.78258486178195,0.7985825999605815,-0.006230638540040689,1.4354226080031367,
ConstrainedKMeans,0.1,3,0.7947329559438838,0.7852423198849292,0.8023142586054826,0.7962025316455696,0.7828352835204423,0.7984661635840032,0.0014695757016858213,1.2561512860047515,
ConstrainedKMeans,0.1,4,0.7922717204036426,0.7822213251750743,0.7963249143913856,0.7970464135021097,0.7831777739316081,0.8011276182325598,0.00477469309846712,1.215700717002619,
ConstrainedKMeans,0.2,0,0.7947329559438838,0.7825047313790267,0.7989385280388731,0.7985232067510548,0.7863162676522334,0.8023297542974116,0.0037902508071709917,1.1366800010000588,
ConstrainedKMeans,0.2,1,0.8055623923209451,0.7924016619563551,0.8085935654542756,0.7964135021097046,0.7868463861387537,0.8010861195015394,-0.009148890211240435,0.8596837040022365,
ConstrainedKMeans,0.2,2,0.8026089096726556,0.7921385796820613,0.8072206666431885,0.7977848101265823,0.7872068414643343,0.8019255193972281,-0.004824099546073324,1.1517565399990417,
ConstrainedKMeans,0.2,3,0.7996554270243662,0.7919399911084023,0.8079217475241759,0.800210970464135,0.7886455236490095,0.8028579458338362,0.0005555434397688241,1.1435323149999022,
ConstrainedKMeans,0.2,4,0.8638936746246616,0.881715472810418,0.8811596889299994,0.8773206751054853,0.8941661274590956,0.8957315297751507,0.013427000480823681,0.5377389080022112,
